id,hotel_id,date,national_id,negative_review,positive_review,score,trip_type,guests_composition_id,room_type_id,vacation_length
1,1,12/08/2016,13, The fact that there was no WIFI in my room In a Hotel this class I would expect that not only in the Bar and Restaurant area , The bed was extremely comfortable,10, Business trip,1,1,8
9,1,12/14/2016,77, The breakfast in the lounge is very moderate , The location was perfect just opposite big ben and under london eye Big hotel and very friendly and helpfull staff Also very clean,9.2, Leisure trip,2,2,4
11,1,10/17/2016,93, Scaffolding outside our bedroom window which workmen were noisily working on in particular on one of our three mornings not good enough for a 5 hotel We got a complimentary breakfast for the inconvenience I was glad we paid for room only in the hotel and not b b as I thought the breakfast for a five star hotel was poor We would probably stay in the Premier Inn County Hall if we were to visit London again as it is just around the corner and better value Pillows uncomfortable air con difficult to control room either too warm or too cold Could not locate steam room sauna, Location is excellent quiet room Decor in room excellent All staff excellent in particular all at reception desk concierge Hotel in general very clean ,8.3, Leisure trip,2,1,3
16,1,8/30/2016,139, Wi fi was a problem Miserable supply of milk soap etc, The bar and restaurant staff were wonderful ,7.5, Leisure trip,2,1,3
17,1,8/30/2016,143, breakfast should have more choices the options were very disappointing considering its a 5 star establishment , The location of this place is the best thing you need to have a nice trip in London everything is close by ,9.2, Leisure trip,2,1,5
28,1,3/23/2017,200,No Negative, Every member of staff went above and beyond to ensure that our stay at the Marriott County Hall was absolutely fantastic When I mentioned at check in that my husband and I were spending a last night together before he went away for four months work we were asked to wait in the stunning bar for ten minutes and when we went up to our room there were rose petals on the bed and complimentary champagne in an ice bucket plus a box of chocolate truffles Incredible service and such a lovely surprise The room itself was perfect the bed sumptuous and everything had been recently renovated in a luxurious modern style that still managed to echo and complement the history of the building Little touches like being able to easily link our laptop to the TV and watch movies from our own Netflix account was a huge bonus The hotel and amenities were beautiful but it was the wonderful friendly service where nothing was too much trouble that made our stay so memorable I hope we ll be back soon ,10, Leisure trip,2,1,1
31,1,02/08/2017,200, Would prefer crispy bacon , Lovely room with 2 double beds Bathroom was sumptuous with Floris soaps body lotion and bath shower shampoo conditioner They were really impressive and I ve brought home the opened products When we arrived in reception I asked for a room not too far down the corridor as I have mobility problems and my request was fulfilled Thank you That meant a lot ,9.6, Leisure trip,2,1,1
32,1,1/23/2017,200, its worth paying for the gallery breakfast in the main restaurant looked crowded where the gallery was relaxed and spacious , fantastic view over the Thames gallery for evening drinks and breakfast was lovely with a feeling of exclusiveness all the staff were very friendly polite and professional ,10, Leisure trip,2,2,1
35,1,01/01/2017,200, The room was not as described by booking com Clearly said a bath and only a shower was provided The bed was described as being over 180cm and this was not the case When challenged at the hotel I was informed that booking com only listed facilities available ,No Positive,7.5, Leisure trip,2,1,1
38,1,9/20/2016,200, The hotel is very overpriced for what you get Room service was also very poor took over an hour for the food to turn up and was stone cold when delivered When complaining we were initially told we d get a 60 discount with it only being by luck we noticed if food takes more than 45 mins it should be completely free ,No Positive,5, Leisure trip,2,1,1
39,1,9/18/2016,200,No Negative, We loved everything the history of the place and the fact that a lot of the original d cor is the same The staff were absolutely outstanding friendly and efficient the room had everything you could possibly need Maybe a bit pricey but for that location it s priceless ,9.2, Leisure trip,2,1,1
42,1,6/28/2016,200, I booked a room with a bath through booking com however on arrival my room had an assisted bathroom with no bath and just a shower hose no holder Second room was another assisted bathroom with a hospital esque wet room Paid a premium to have a hotel with a tub no tub Paid a premium to have a hotel with spa but no treatments available Paid a premium for a hotel with pool gym steam room Jacuzzi sauna but steam room and Jacuzzi were broken on day of visit Therefore I must regrettably leave a poor review , Excellent friendly staff familiar Marriott Hotels feel super clean well decorated and furnished ,6.7, Leisure trip,2,1,1
47,1,05/11/2016,200, Room not ready on arrival No price differential between Children s and adult breakfast Very expensive Had to insist to be moved from our breakfast table Glass on the floor under the table and around us had not been properly cleared from night before A problem for people with children I would propose , Unbeatable location for the Southbank area Great room better views Loved the small touch of a toy car in the room as a token apology ,8.3, Leisure trip,3,1,1
48,1,05/04/2016,200, Poor quality hotel could be magnificent but wasn t Staff were very mixed Some were terrific others reception person particularly were poor Felt no personal attention at all Very mediocre hotel indeed Unbelievable noise of drilling in the night as refurbishment still continued at 2am until complained Only good view of the sights of london if you pay extra Some rooms directly in front of London Eye with clunking noise whenever it was on , Location for the sights of London is great ,5.4, Business trip,4,1,1
57,1,2/28/2017,200, Booking com didn t mention that the parking was an additional charge , lovely room great view staff are helpfull and friendly ,9.6, Leisure trip,2,1,1
59,1,9/18/2016,200,No Negative, The room was perfect ,10, Leisure trip,1,1,1
61,1,8/18/2016,200, the food wasn t that great and was very expensive, the staff were very attentive and it was comfortable,9.2, Business trip,1,1,1
