id,name,address,city_id
1,London Marriott Hotel County Hall, County Hall Westminster Bridge Road Lambeth  SE1 7PB ,1
2,Hotel Arena, s Gravesandestraat 55 Oost 1092 AA  ,4
3,K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea  SW5 9NB ,1
4,Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of   EC4Y 1LL ,1
5,The Park Grand London Paddington,1 3 Queens Garden Westminster Borough  W2 3BA ,1
6,Monhotel Lounge SPA,1 3 Rue d Argentine 16th arr 75116  ,2
7,Kube Hotel Ice Bar,1 5 Passage Ruelle 18th arr 75018  ,2
8,The Principal London,1 8 Russell Square Camden  WC1B 5BE ,1
9,Park Plaza County Hall London,1 Addington Street Lambeth  SE1 7RY ,1
10,One Aldwych,1 Aldwych Westminster Borough  WC2B 4BZ ,1
11,Splendid Etoile,1 Avenue Carnot 17th arr 75017  ,2
12,Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006  ,2
13,InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough  W1J 7QY ,1
14,Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018  ,2
15,Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough  W2 3JP ,1
16,Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea  W8 5DL ,1
17,Crowne Plaza London Kings Cross,1 Kings Cross Road Islington  WC1X 9HX ,1
18,Select Hotel,1 Place De La Sorbonne 5th arr 75005  ,2
19,H tel De Vend me,1 Place Vend me 1st arr 75001  ,2
20,Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012  ,2
21,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011  ,2
22,Hotel Panache,1 rue Geoffroy Marie 9th arr 75009  ,2
23,H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001  ,2
24,Hotel Scribe Paris Opera by Sofitel,1 Rue Scribe 9th arr 75009  ,2
25,Novotel London West,1 Shortlands Hammersmith and Fulham  W6 8DR ,1
26,Haymarket Hotel,1 Suffolk Place Westminster Borough  SW1Y 4HX ,1
27,Intercontinental London The O2,1 Waterview Drive Greenwich  SE10 0TW ,1
28,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007  ,2
29,Hotel L Antoine,10 12 rue de Charonne 11th arr 75011  ,2
30,Belfast,10 avenue Carnot 17th arr 75017  ,2
